tx_id,tx_date,amount,description
TX-0001,2024-12-21,565.54,Payment from customer 1
TX-0002,2024-12-08,1123.82,Payment from customer 2
TX-0003,2024-12-22,3705.93,Payment from customer 3
TX-0004,2024-12-19,2115.39,Payment from customer 4
TX-0005,2024-12-03,1101.0,Payment from customer 5
TX-0006,2024-12-18,1002.2,Payment from customer 6
TX-0007,2024-12-08,2251.55,Payment from customer 7
TX-0008,2024-12-26,4347.81,Payment from customer 8
TX-0009,2024-12-23,2118.85,Payment from customer 9
TX-0010,2024-12-05,1084.42,Payment from customer 10
TX-0011,2024-12-04,472.8,Payment from customer 11
TX-0012,2024-12-12,4239.0,Payment from customer 12
TX-0013,2024-12-26,226.82,Payment from customer 13
TX-0014,2024-12-18,632.88,Payment from customer 14
TX-0015,2024-12-03,2764.68,Payment from customer 15
TX-0016,2024-12-19,969.52,Payment from customer 16
TX-0017,2024-12-02,3309.7,Payment from customer 17
TX-0018,2024-12-03,4278.04,Payment from customer 18
TX-0019,2024-12-13,1397.09,Payment from customer 19
TX-0020,2024-12-06,1857.2,Payment from customer 20
TX-0021,2024-12-22,1342.22,Payment from customer 21
TX-0022,2024-12-20,3178.54,Payment from customer 22
TX-0023,2024-12-06,2316.68,Payment from customer 23
TX-0024,2024-12-21,3443.93,Payment from customer 24
TX-0025,2024-12-22,1628.17,Payment from customer 25
TX-0026,2024-12-08,4110.79,Payment from customer 26
TX-0027,2024-12-13,1346.03,Payment from customer 27
TX-0028,2024-12-19,4383.07,Payment from customer 28
TX-0029,2024-12-07,3280.64,Payment from customer 29
TX-0030,2024-12-21,2299.67,Payment from customer 30
TX-0031,2024-12-05,1240.67,Payment from customer 31
TX-0032,2024-12-24,2927.08,Payment from customer 32
TX-0033,2024-12-12,1104.41,Payment from customer 33
TX-0034,2024-12-17,2472.64,Payment from customer 34
TX-0035,2024-12-28,557.15,Payment from customer 35
TX-0036,2024-12-26,3405.6,Payment from customer 36
TX-0037,2024-12-13,1914.28,Payment from customer 37
TX-0038,2024-12-17,1264.56,Payment from customer 38
TX-0039,2024-12-22,3606.4,Payment from customer 39
TX-0040,2024-12-25,3208.4,Payment from customer 40
TX-0041,2024-12-10,2179.48,Payment from customer 41
TX-0042,2024-12-01,4769.54,Payment from customer 42
TX-0043,2024-12-17,3812.19,Payment from customer 43
TX-0044,2024-12-28,3130.25,Payment from customer 44
TX-0045,2024-12-05,1875.83,Payment from customer 45
TX-0046,2024-12-18,4767.96,Payment from customer 46
TX-0047,2024-12-20,1627.54,Payment from customer 47
TX-0048,2024-12-04,4646.2,Payment from customer 48
TX-0049,2024-12-08,299.05,Payment from customer 49
TX-0050,2024-12-03,3662.22,Payment from customer 50
TX-0051,2024-12-25,2668.2,Payment from customer 51
TX-0052,2024-12-05,3302.16,Payment from customer 52
TX-0053,2024-12-09,2643.09,Payment from customer 53
TX-0054,2024-12-07,4645.28,Payment from customer 54
TX-0055,2024-12-23,1565.46,Payment from customer 55
TX-0056,2024-12-15,4499.07,Payment from customer 56
TX-0057,2024-12-04,1247.05,Payment from customer 57
TX-0058,2024-12-11,114.96,Payment from customer 58
TX-0059,2024-12-19,1108.88,Payment from customer 59
TX-0060,2024-12-23,3159.2,Payment from customer 60
TX-0061,2024-12-03,4528.05,Payment from customer 61
TX-0062,2024-12-03,2575.64,Payment from customer 62
TX-0063,2024-12-22,2432.22,Payment from customer 63
TX-0064,2024-12-24,4678.22,Payment from customer 64
TX-0065,2024-12-08,3925.25,Payment from customer 65
TX-0066,2024-12-07,480.69,Payment from customer 66
TX-0067,2024-12-12,2123.66,Payment from customer 67
TX-0068,2024-12-28,3648.09,Payment from customer 68
TX-0069,2024-12-02,2019.08,Payment from customer 69
TX-0070,2024-12-26,4309.75,Payment from customer 70
TX-0071,2024-12-07,959.14,Payment from customer 71
TX-0072,2024-12-05,2115.19,Payment from customer 72
TX-0073,2024-12-15,1256.53,Payment from customer 73
TX-0074,2024-12-15,4042.03,Payment from customer 74
TX-0075,2024-12-02,3264.2,Payment from customer 75
TX-0076,2024-12-03,4632.57,Payment from customer 76
TX-0077,2024-12-06,2038.01,Payment from customer 77
TX-0078,2024-12-07,4324.61,Payment from customer 78
TX-0079,2024-12-06,1901.08,Payment from customer 79
TX-0080,2024-12-09,4633.33,Payment from customer 80
TX-0081,2024-12-10,2120.81,Payment from customer 81
TX-0082,2024-12-05,957.59,Payment from customer 82
